perturbation_id,target_contrast_gene_name,target_contrast,culture_condition,ontarget_effect_size,ontarget_significant,guide_correlation_all,guide_correlation_all_pval,donor_correlation_hits_mean,n_downstream,n_total_de_genes,n_up_genes,n_down_genes,n_cells_target,target_baseMean,_guide_ok,_donor_ok
ENSG00000135837_Stim8hr,CEP350,ENSG00000135837,Stim8hr,-8.361743895045537,True,,,0.3647532361795569,73,74,67,7,149.0,59.49260258322462,False,True
ENSG00000106477_Rest,CEP41,ENSG00000106477,Rest,-7.526524223813161,True,0.1346371643573207,9.867173819827448e-48,,6,7,6,1,652.0,9.890747156219328,True,False
ENSG00000106477_Stim48hr,CEP41,ENSG00000106477,Stim48hr,-9.407599686009313,True,0.0652844280415239,2.3297239125434134e-12,,1,2,1,1,652.0,15.853490448082471,True,False
ENSG00000106477_Stim8hr,CEP41,ENSG00000106477,Stim8hr,-9.77360289570554,True,0.2079924875483585,9.153216139564931e-113,,2,3,0,3,632.0,14.758223553026108,True,False
ENSG00000164118_Rest,CEP44,ENSG00000164118,Rest,-8.90162476017045,True,0.0714557863393441,1.6189830031270728e-14,0.7824472346377402,71,72,17,55,346.0,27.039446751433623,True,True
ENSG00000138180_Stim48hr,CEP55,ENSG00000138180,Stim48hr,-13.371234254259724,True,,,0.7018675968242922,42,43,29,14,96.0,281.8999750716999,False,True
ENSG00000183137_Rest,CEP57L1,ENSG00000183137,Rest,-5.897846787186042,True,0.1001648663128665,4.4772651057064316e-27,,0,1,0,1,436.0,9.44242560181891,True,False
ENSG00000183137_Stim48hr,CEP57L1,ENSG00000183137,Stim48hr,-9.76448183878266,True,0.1150126344600041,3.2243349444168284e-35,,0,1,0,1,443.0,21.47872494813336,True,False
ENSG00000011523_Rest,CEP68,ENSG00000011523,Rest,-8.406644914421285,True,0.164140722454347,2.2753654413833335e-70,,9,10,1,9,816.0,8.924464801220033,True,False
ENSG00000011523_Stim48hr,CEP68,ENSG00000011523,Stim48hr,-10.575004310644042,True,0.1039184527878917,5.0061756190439685e-29,,0,1,0,1,1143.0,11.502399042398968,True,False
ENSG00000011523_Stim8hr,CEP68,ENSG00000011523,Stim8hr,-8.198712087016508,True,0.1645783926030927,9.685918701672926e-71,,0,1,0,1,926.0,7.722721638308979,True,False
ENSG00000114107_Rest,CEP70,ENSG00000114107,Rest,-5.575462704270004,True,0.0934766566622757,8.90900297108777e-24,,1,2,1,1,539.0,9.023166377681584,True,False
ENSG00000114107_Stim48hr,CEP70,ENSG00000114107,Stim48hr,-6.9793474084040605,True,0.1138825557372868,1.4726695223426555e-34,,0,1,0,1,586.0,13.089247231192818,True,False
