rank,gene,condition,n_suppress_effector,suppress_sum_absz,suppress_max_absz,suppress_cytokines,n_boost,boost_sum_absz,boost_max_absz,boost_cytokines
461.0,RB1CC1,Stim8hr,2,5.4190000000000005,2.766,"IL2,IL3",2,6.489,3.795,"IL2RA,IL5"
462.0,BRPF1,Stim48hr,2,5.394,2.705,"IL2,IL2RA",0,,,
463.0,ATXN10,Rest,2,5.328,2.705,"IFNG,LTA",0,,,
464.0,MTA2,Stim48hr,2,5.311,2.702,"IL2,IL3",1,2.87,2.87,CTLA4
465.0,DR1,Stim48hr,2,5.307,2.668,"IFNG,IL3",1,4.07,4.07,IL2RA
466.0,SMG7,Rest,2,5.256,2.629,"CSF2,TNF",0,,,
467.0,ELOB,Stim8hr,2,4.9079999999999995,2.714,"IL2,IL5",1,4.981,4.981,IL2RA
468.0,SKIC8,Stim48hr,1,16.252,16.252,IL2RA,2,6.1419999999999995,3.734,"IFNG,TNF"
469.0,IL13,Stim48hr,1,12.665,12.665,IL13,0,,,
470.0,IL2RA,Stim48hr,1,11.327,11.327,IL2RA,0,,,
471.0,CSF2,Stim8hr,1,10.923,10.923,CSF2,0,,,
472.0,RPRD2,Stim8hr,1,10.883,10.883,IL2RA,3,8.309000000000001,3.377,"IL4,LTA,TNF"
473.0,CSF2,Stim48hr,1,7.81,7.81,CSF2,0,,,
474.0,IL13,Stim8hr,1,7.587,7.587,IL13,0,,,
475.0,RPRD2,Stim48hr,1,7.157,7.157,IL2RA,3,8.062,2.941,"IL21,LTA,TNF"
476.0,UVRAG,Stim8hr,1,7.111,7.111,IL2RA,3,10.695,3.896,"CSF2,IL10,IL21"
477.0,IL2RA,Rest,1,6.938,6.938,IL2RA,0,,,
478.0,SGF29,Rest,1,6.664,6.664,TNF,0,,,
479.0,IFNG,Stim8hr,1,6.554,6.554,IFNG,0,,,
480.0,EGR2,Stim8hr,1,6.217,6.217,LTA,1,2.995,2.995,IL2RA
481.0,WDR48,Stim8hr,1,5.817,5.817,IL2,0,,,
482.0,ALG1,Stim8hr,1,5.696,5.696,IL2RA,1,3.49,3.49,IL10
483.0,NAA25,Stim8hr,1,5.599,5.599,IL3,0,,,
484.0,EXOC7,Stim8hr,1,5.54,5.54,IL2RA,0,,,
485.0,GRK2,Stim48hr,1,5.371,5.371,IL3,0,,,
486.0,ATAD5,Stim48hr,1,5.318,5.318,LTA,2,5.335,2.824,"IL2RA,IL5"
487.0,ACAD9,Stim48hr,1,5.31,5.31,IL3,0,,,
488.0,TET2,Stim48hr,1,5.257,5.257,IL13,0,,,
489.0,MESD,Stim8hr,1,5.202,5.202,IL5,0,,,
490.0,EML4,Stim48hr,1,5.197,5.197,IL3,0,,,
491.0,VPS45,Stim8hr,1,5.182,5.182,IL2RA,3,10.866,3.802,"CSF2,IL2,TNF"
492.0,TAF6L,Rest,1,5.174,5.174,TNF,3,10.609,3.855,"IFNG,IL22,IL2RA"
493.0,KEAP1,Stim48hr,1,5.137,5.137,IL13,0,,,
494.0,INTS10,Stim8hr,1,5.102,5.102,IL2,1,2.471,2.471,IL10
495.0,DENND1C,Stim8hr,1,5.044,5.044,IL22,0,,,
496.0,BCL3,Stim8hr,1,5.022,5.022,IL3,0,,,
497.0,TMEM71,Stim8hr,1,4.986,4.986,IL5,0,,,
498.0,RNF115,Stim8hr,1,4.955,4.955,IL22,0,,,
499.0,STT3A,Stim8hr,1,4.946,4.946,IL2,0,,,
500.0,GOLPH3,Stim8hr,1,4.939,4.939,IL5,0,,,
501.0,RELB,Stim48hr,1,4.937,4.937,IL3,0,,,
502.0,IL22,Stim8hr,1,4.914,4.914,IL22,0,,,
503.0,ZNF614,Stim8hr,1,4.908,4.908,IL22,0,,,
504.0,YME1L1,Stim8hr,1,4.894,4.894,IL13,0,,,
505.0,OTULINL,Stim8hr,1,4.88,4.88,IL5,0,,,
