gene,ensg,n_directions,biotype,protein_class,sm_tractable,ab_tractable,best_sm_bucket,has_clinical_drug,n_known_drugs,known_drug_moa,novel_druggable,n_assoc_diseases,chembl_pref_name,chembl_target_id
MEST,ENSG00000106484,2,protein_coding,SINGLE PROTEIN,False,True,,False,0,,True,163,Mesoderm-specific transcript homolog protein,CHEMBL4523324
METTL1,ENSG00000037897,2,protein_coding,(inferred:protein_coding),True,False,Structure with Ligand,False,0,,True,198,,
MFSD6,ENSG00000151690,2,protein_coding,(inferred:protein_coding),False,True,,False,0,,True,63,,
MIA2,ENSG00000150527,2,protein_coding,(inferred:protein_coding),False,True,,False,0,,True,158,,
MMGT1,ENSG00000169446,2,protein_coding,SINGLE PROTEIN,True,True,Structure with Ligand,False,0,,True,23,ER membrane protein complex subunit 5,CHEMBL6067286
MPG,ENSG00000103152,2,protein_coding,SINGLE PROTEIN,True,False,High-Quality Ligand,False,0,,True,193,DNA-3-methyladenine glycosylase,CHEMBL3396943
MPI,ENSG00000178802,2,protein_coding,SINGLE PROTEIN,True,True,High-Quality Ligand,False,0,,True,161,Mannose-6-phosphate isomerase,CHEMBL2758
MTCH2,ENSG00000109919,2,protein_coding,SINGLE PROTEIN,False,True,,False,0,,True,205,Mitochondrial carrier homolog 2,CHEMBL4523511
MTPAP,ENSG00000107951,2,protein_coding,(inferred:protein_coding),True,False,Med-Quality Pocket,False,0,,True,70,,
MYC,ENSG00000136997,2,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,2146,Myc proto-oncogene protein,CHEMBL1250348
N6AMT1,ENSG00000156239,2,protein_coding,(inferred:protein_coding),True,False,Structure with Ligand,False,0,,True,79,,
NAA30,ENSG00000139977,2,protein_coding,(inferred:protein_coding),True,False,Structure with Ligand,False,0,,True,38,,
NCKAP1L,ENSG00000123338,2,protein_coding,SINGLE PROTEIN,False,True,,False,0,,True,465,Nck-associated protein 1-like,CHEMBL5724620
NDFIP2,ENSG00000102471,2,protein_coding,(inferred:protein_coding),False,True,,False,0,,True,303,,
NDRG1,ENSG00000104419,2,protein_coding,SINGLE PROTEIN,False,True,,False,0,,True,2724,Protein NDRG1,CHEMBL4295916
NRBP1,ENSG00000115216,2,protein_coding,(inferred:protein_coding),True,False,Druggable Family,False,0,,True,122,,
ORAI1,ENSG00000276045,2,protein_coding,SINGLE PROTEIN,True,True,High-Quality Ligand,False,0,,True,1342,Calcium release-activated calcium channel protein 1,CHEMBL2384891
OXA1L,ENSG00000155463,2,protein_coding,SINGLE PROTEIN,True,True,Structure with Ligand,False,0,,True,114,Mitochondrial inner membrane protein OXA1L,CHEMBL6067076
PDHA1,ENSG00000131828,2,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,345,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",CHEMBL2092
PGAP2,ENSG00000148985,2,protein_coding,(inferred:protein_coding),False,True,,False,0,,True,1054,,
PHIP,ENSG00000146247,2,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,253,PH-interacting protein,CHEMBL2176773
PITRM1,ENSG00000107959,2,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,235,"Presequence protease, mitochondrial",CHEMBL3124731
PKM,ENSG00000067225,2,protein_coding,SINGLE PROTEIN,True,True,Structure with Ligand,False,0,,True,676,Pyruvate kinase PKM,CHEMBL1075189
POLRMT,ENSG00000099821,2,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,151,"DNA-directed RNA polymerase, mitochondrial",CHEMBL3120041
PPCDC,ENSG00000138621,2,protein_coding,(inferred:protein_coding),True,False,Structure with Ligand,False,0,,True,57,,
PPCS,ENSG00000127125,2,protein_coding,(inferred:protein_coding),True,False,Structure with Ligand,False,0,,True,45,,
PPP3R1,ENSG00000221823,2,protein_coding,SINGLE PROTEIN,True,True,Structure with Ligand,False,0,,True,589,Calcineurin subunit B type 1,CHEMBL2082
PPP4C,ENSG00000149923,2,protein_coding,SINGLE PROTEIN,False,True,,False,0,,True,540,Serine/threonine-protein phosphatase 4 catalytic subunit,CHEMBL5465552
PRKAR1A,ENSG00000108946,2,protein_coding,SINGLE PROTEIN,True,True,Structure with Ligand,False,0,,True,807,cAMP-dependent protein kinase type I-alpha regulatory subunit,CHEMBL4928
PTEN,ENSG00000171862,2,protein_coding,SINGLE PROTEIN,True,True,Structure with Ligand,False,0,,True,2158,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN",CHEMBL2052032
PTPN2,ENSG00000175354,2,protein_coding,SINGLE PROTEIN,True,True,Structure with Ligand,False,0,,True,728,Tyrosine-protein phosphatase non-receptor type 2,CHEMBL3807
RAB11FIP1,ENSG00000156675,2,protein_coding,(inferred:protein_coding),True,False,Structure with Ligand,False,0,,True,79,,
RAP2A,ENSG00000125249,2,protein_coding,(inferred:protein_coding),True,True,Structure with Ligand,False,0,,True,130,,
RB1CC1,ENSG00000023287,2,protein_coding,(inferred:protein_coding),True,False,Structure with Ligand,False,0,,True,540,,
RBFA,ENSG00000101546,2,protein_coding,(inferred:protein_coding),True,False,Structure with Ligand,False,0,,True,20,,
RFT1,ENSG00000163933,2,protein_coding,SINGLE PROTEIN,False,True,,False,0,,True,146,Man(5)GlcNAc(2)-PP-dolichol translocation protein RFT1,CHEMBL6067273
RICTOR,ENSG00000164327,2,protein_coding,SINGLE PROTEIN,True,True,Structure with Ligand,False,0,,True,506,Rapamycin-insensitive companion of mTOR,CHEMBL1795179
RNASEH2A,ENSG00000104889,2,protein_coding,(inferred:protein_coding),True,False,High-Quality Pocket,False,0,,True,216,,
RNFT2,ENSG00000135119,2,protein_coding,(inferred:protein_coding),False,True,,False,0,,True,486,,
SEC23A,ENSG00000100934,2,protein_coding,SINGLE PROTEIN,True,True,Structure with Ligand,False,0,,True,365,Protein transport protein Sec23A,CHEMBL4295827
SIN3B,ENSG00000127511,2,protein_coding,(inferred:protein_coding),True,True,Structure with Ligand,False,0,,True,89,,
SLC35B1,ENSG00000121073,2,protein_coding,(inferred:protein_coding),False,True,,False,0,,True,40,,
SMARCA5,ENSG00000153147,2,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,185,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5,CHEMBL6066387
SMG1,ENSG00000157106,2,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,486,Serine/threonine-protein kinase SMG1,CHEMBL1795195
SMG9,ENSG00000105771,2,protein_coding,(inferred:protein_coding),True,False,Structure with Ligand,False,0,,True,2300,,
SMPD1,ENSG00000166311,2,protein_coding,SINGLE PROTEIN,True,True,Structure with Ligand,False,0,,True,1997,Sphingomyelin phosphodiesterase,CHEMBL2760
SND1,ENSG00000197157,2,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,542,Staphylococcal nuclease domain-containing protein 1,CHEMBL3879865
SRP9,ENSG00000143742,2,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,122,Signal recognition particle 9 kDa protein,CHEMBL5725084
STAT5A,ENSG00000126561,2,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,516,Signal transducer and activator of transcription 5A,CHEMBL5403
STAT5B,ENSG00000173757,2,protein_coding,SINGLE PROTEIN,True,False,High-Quality Ligand,False,0,,True,1003,Signal transducer and activator of transcription 5B,CHEMBL5817
STIP1,ENSG00000168439,2,protein_coding,SINGLE PROTEIN,True,True,Structure with Ligand,False,0,,True,204,Stress-induced-phosphoprotein 1,CHEMBL4523216
STK11,ENSG00000118046,2,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,1059,Serine/threonine-protein kinase STK11,CHEMBL5606
TAF13,ENSG00000197780,2,protein_coding,(inferred:protein_coding),True,False,Structure with Ligand,False,0,,True,37,,
TFAM,ENSG00000108064,2,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,512,"Transcription factor A, mitochondrial",CHEMBL6067181
TFB1M,ENSG00000029639,2,protein_coding,(inferred:protein_coding),True,False,Structure with Ligand,False,0,,True,132,,
TIMM10,ENSG00000134809,2,protein_coding,SINGLE PROTEIN,True,True,Structure with Ligand,False,0,,True,31,Mitochondrial import inner membrane translocase subunit Tim10,CHEMBL6067408
TIMP1,ENSG00000102265,2,protein_coding,(inferred:protein_coding),False,True,,False,0,,True,2170,,
TMED9,ENSG00000184840,2,protein_coding,SINGLE PROTEIN,True,True,Structure with Ligand,False,0,,True,80,Transmembrane emp24 domain-containing protein 9,CHEMBL6066330
TMEM234,ENSG00000160055,2,protein_coding,(inferred:protein_coding),False,True,,False,0,,True,7,,
TOR1A,ENSG00000136827,2,protein_coding,(inferred:protein_coding),True,True,Structure with Ligand,False,0,,True,2041,,
TPST2,ENSG00000128294,2,protein_coding,SINGLE PROTEIN,True,True,Structure with Ligand,False,0,,True,302,Protein-tyrosine sulfotransferase 2,CHEMBL3178
TRAF6,ENSG00000175104,2,protein_coding,SINGLE PROTEIN,False,True,,False,0,,True,1875,TNF receptor-associated factor 6,CHEMBL3588728
TSC1,ENSG00000165699,2,protein_coding,(inferred:protein_coding),False,True,,False,0,,True,1254,,
UBE2L3,ENSG00000185651,2,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,133,Ubiquitin-conjugating enzyme E2 L3,CHEMBL4105871
