gene,ensg,n_directions,in_cytokine,in_polarization,in_context,in_network
FAF2,ENSG00000113194,1,True,False,False,False
FAM118A,ENSG00000100376,1,False,False,True,False
FAM118B,ENSG00000197798,1,False,False,True,False
FAM136A,ENSG00000035141,1,False,False,True,False
FAM161A,ENSG00000170264,1,False,False,True,False
FAM161B,ENSG00000156050,1,False,False,True,False
FAM174C,ENSG00000228300,1,False,True,False,False
FAM204A,ENSG00000165669,2,True,False,True,False
FAM20B,ENSG00000116199,1,True,False,False,False
FAM89B,ENSG00000176973,1,False,False,False,True
FAM98B,ENSG00000171262,1,True,False,False,False
FANCC,ENSG00000158169,1,False,False,True,False
FANCL,ENSG00000115392,2,True,False,True,False
FBRS,ENSG00000156860,1,True,False,False,False
FBXL4,ENSG00000112234,1,False,True,False,False
FBXO32,ENSG00000156804,2,True,True,False,False
FBXO42,ENSG00000037637,1,True,False,False,False
FCHO1,ENSG00000130475,1,False,False,True,False
FHIP2A,ENSG00000151553,1,True,False,False,False
FLAD1,ENSG00000160688,1,True,False,False,False
FLCN,ENSG00000154803,2,True,False,True,False
FLT3LG,ENSG00000090554,1,False,True,False,False
FMR1,ENSG00000102081,1,False,False,True,False
FN3K,ENSG00000167363,1,False,False,True,False
FNBP4,ENSG00000109920,2,True,True,False,False
FOXK1,ENSG00000164916,1,True,False,False,False
FPGS,ENSG00000136877,1,False,False,True,False
FRS3,ENSG00000137218,1,False,False,True,False
FZD6,ENSG00000164930,2,True,False,True,False
GAB2,ENSG00000033327,2,True,False,True,False
GABPB1,ENSG00000104064,2,True,False,False,True
GADD45GIP1,ENSG00000179271,1,False,False,True,False
GALNT6,ENSG00000139629,1,True,False,False,False
GANAB,ENSG00000089597,1,True,False,False,False
GARS1,ENSG00000106105,1,False,False,True,False
GAS2L1,ENSG00000185340,1,False,False,True,False
GATA3,ENSG00000107485,2,True,True,False,False
GATB,ENSG00000059691,1,False,False,True,False
GCN1,ENSG00000089154,1,True,False,False,False
GDAP2,ENSG00000196505,1,True,False,False,False
GEMIN7,ENSG00000142252,1,False,False,True,False
GET1,ENSG00000182093,2,True,False,True,False
GET3,ENSG00000198356,1,True,False,False,False
GFM1,ENSG00000168827,1,True,False,False,False
GJC1,ENSG00000182963,2,True,False,True,False
GNE,ENSG00000159921,2,True,False,True,False
GNG5,ENSG00000174021,2,True,False,True,False
GNPAT,ENSG00000116906,3,True,True,True,False
GNPNAT1,ENSG00000100522,2,True,False,True,False
GOLT1B,ENSG00000111711,2,True,False,True,False
GOPC,ENSG00000047932,1,False,True,False,False
GPALPP1,ENSG00000133114,1,True,False,False,False
GPD1L,ENSG00000152642,1,True,False,False,False
GPI,ENSG00000105220,2,True,False,False,True
GPR146,ENSG00000164849,1,False,False,True,False
GPR15,ENSG00000154165,1,False,False,True,False
GPR183,ENSG00000169508,1,True,False,False,False
GPT2,ENSG00000166123,2,True,False,True,False
GRK6,ENSG00000198055,1,False,False,True,False
GRSF1,ENSG00000132463,2,False,False,True,True
GSS,ENSG00000100983,2,True,True,False,False
GTF2H5,ENSG00000272047,2,True,False,True,False
GTF3C5,ENSG00000148308,2,True,False,True,False
GTF3C6,ENSG00000155115,3,True,True,True,False
GTPBP10,ENSG00000105793,1,False,False,True,False
HACD2,ENSG00000206527,1,False,False,True,False
HAPSTR1,ENSG00000182831,1,True,False,False,False
HAX1,ENSG00000143575,1,False,False,True,False
HCCS,ENSG00000004961,2,True,True,False,False
HDAC2,ENSG00000196591,1,False,True,False,False
HDAC3,ENSG00000171720,1,False,False,True,False
HDAC7,ENSG00000061273,1,True,False,False,False
HDGFL3,ENSG00000166503,1,True,False,False,False
HEATR3,ENSG00000155393,2,True,False,True,False
HERC4,ENSG00000148634,1,True,False,False,False
HEXIM1,ENSG00000186834,3,True,True,True,False
HIF1A,ENSG00000100644,1,False,False,True,False
HK2,ENSG00000159399,1,False,False,True,False
HMBS,ENSG00000256269,2,True,False,True,False
HMGB3,ENSG00000029993,1,False,False,True,False
HMGXB3,ENSG00000113716,2,True,False,True,False
HMGXB4,ENSG00000100281,1,True,False,False,False
HNRNPA2B1,ENSG00000122566,1,True,False,False,False
HNRNPDL,ENSG00000152795,1,False,False,True,False
HNRNPM,ENSG00000099783,2,False,True,True,False
HRAS,ENSG00000174775,1,False,False,True,False
HS3ST3B1,ENSG00000125430,1,False,False,True,False
HSD17B12,ENSG00000149084,1,False,False,True,False
HSP90B1,ENSG00000166598,1,False,False,True,False
HTT,ENSG00000197386,1,False,False,True,False
IBA57,ENSG00000181873,2,True,True,False,False
ICE2,ENSG00000128915,1,False,False,True,False
ICMT,ENSG00000116237,1,False,False,True,False
ID2,ENSG00000115738,1,True,False,False,False
IDH3A,ENSG00000166411,1,False,False,True,False
IFI30,ENSG00000216490,1,False,True,False,False
IFNGR1,ENSG00000027697,2,False,True,True,False
IFNGR2,ENSG00000159128,1,False,False,True,False
IFT172,ENSG00000138002,1,False,False,True,False
IKBKB,ENSG00000104365,1,False,False,True,False
IL12RB2,ENSG00000081985,1,True,False,False,False
IL2,ENSG00000109471,1,True,False,False,False
IL21,ENSG00000138684,1,False,False,True,False
IL21R,ENSG00000103522,1,False,False,True,False
IL2RA,ENSG00000134460,2,True,True,False,False
IL2RB,ENSG00000100385,3,True,True,True,False
IL4I1,ENSG00000104951,1,False,False,True,False
IL4R,ENSG00000077238,3,True,True,True,False
IL7R,ENSG00000168685,2,True,False,True,False
IMMT,ENSG00000132305,1,True,False,False,False
IMPDH2,ENSG00000178035,2,True,True,False,False
ING3,ENSG00000071243,1,False,False,True,False
ING5,ENSG00000168395,1,True,False,False,False
INO80,ENSG00000128908,1,True,False,False,False
INO80B,ENSG00000115274,2,True,True,False,False
INPP5D,ENSG00000168918,3,True,True,True,False
INSIG1,ENSG00000186480,1,False,False,True,False
INTS10,ENSG00000104613,2,True,False,False,True
INTS14,ENSG00000138614,2,True,True,False,False
INTS15,ENSG00000146576,2,True,False,True,False
IQCG,ENSG00000114473,1,True,False,False,False
IRF2BP1,ENSG00000170604,2,True,True,False,False
IRF8,ENSG00000140968,2,True,False,True,False
IST1,ENSG00000182149,2,True,True,False,False
ITGB2,ENSG00000160255,1,True,False,False,False
ITK,ENSG00000113263,3,True,False,True,True
ITPR1,ENSG00000150995,1,False,False,True,False
ITSN1,ENSG00000205726,1,False,False,True,False
IWS1,ENSG00000163166,1,True,False,False,False
JOSD2,ENSG00000161677,1,False,False,True,False
JTB,ENSG00000143543,1,False,False,True,False
JUNB,ENSG00000171223,2,True,True,False,False
JUND,ENSG00000130522,1,True,False,False,False
KAT2B,ENSG00000114166,1,True,False,False,False
KAT7,ENSG00000136504,1,False,False,True,False
KATNIP,ENSG00000047578,1,False,False,True,False
KBTBD2,ENSG00000170852,1,True,False,False,False
KDM1A,ENSG00000004487,3,True,True,False,True
KDM3B,ENSG00000120733,1,True,False,False,False
KDM4A,ENSG00000066135,1,True,False,False,False
KDM8,ENSG00000155666,2,True,False,True,False
KHDRBS1,ENSG00000121774,1,True,False,False,False
KIDINS220,ENSG00000134313,1,False,False,True,False
KIF14,ENSG00000118193,1,False,False,True,False
