gene,target_ensg,condition,n_downstream_Rest,n_downstream_Stim8hr,n_downstream_Stim48hr,n_total_de_Rest,n_total_de_Stim8hr,n_total_de_Stim48hr,n_sig_markers_Rest,n_sig_markers_Stim8hr,n_sig_markers_Stim48hr,stim_max_downstream,class,context_specificity_score,present_conditions,prog_zscore_at_op,top_sig_marker_at_op,therapeutic_direction
WDR6,ENSG00000178252,Stim48hr,1,1,1,2,2,2,0,0,0,1,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
WDR76,ENSG00000092470,Stim48hr,1,0,1,2,1,2,0,0,0,1,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
XYLT2,ENSG00000015532,Stim8hr,1,1,0,2,2,0,0,0,0,1,weak,0.0,"Rest,Stim8hr",,,none
YAF2,ENSG00000015153,Stim48hr,1,0,1,2,1,2,0,0,0,1,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
ZBTB22,ENSG00000236104,Stim48hr,1,0,1,2,1,2,0,0,0,1,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
ZBTB37,ENSG00000185278,Stim8hr,1,1,0,2,2,1,0,0,0,1,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
ZBTB7B,ENSG00000160685,Stim48hr,1,0,1,2,0,2,0,0,0,1,weak,0.0,"Rest,Stim48hr",,,none
ZC3H7B,ENSG00000100403,Stim8hr,1,1,0,2,2,1,0,0,0,1,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
ZCCHC7,ENSG00000147905,Stim48hr,1,0,1,2,1,2,0,0,0,1,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
ZNF182,ENSG00000147118,Stim48hr,1,0,1,2,1,2,0,0,0,1,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
ZNF224,ENSG00000267680,Stim48hr,1,0,1,2,1,2,1,0,0,1,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
ZNF264,ENSG00000083844,Stim48hr,1,1,1,2,2,2,0,0,0,1,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
ZNF284,ENSG00000186026,Stim48hr,1,1,1,2,2,2,0,0,0,1,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
ZNF337,ENSG00000130684,Stim8hr,1,1,0,2,2,1,0,0,0,1,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
ZNF354A,ENSG00000169131,Stim48hr,1,0,1,2,1,2,0,0,0,1,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
ZNF621,ENSG00000172888,Stim48hr,1,0,1,2,1,2,0,0,0,1,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
ZNF672,ENSG00000171161,Stim8hr,1,1,0,2,2,1,0,0,0,1,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
ZNF682,ENSG00000197124,Stim48hr,1,0,1,2,0,2,0,0,0,1,weak,0.0,"Rest,Stim48hr",,,none
ZNF764,ENSG00000169951,Stim8hr,1,1,0,2,2,0,0,0,0,1,weak,0.0,"Rest,Stim8hr",,,none
ABCC5,ENSG00000114770,Stim48hr,0,0,0,1,0,1,0,0,0,0,weak,0.0,"Rest,Stim48hr",,,none
ABCD4,ENSG00000119688,Stim48hr,0,0,0,1,0,0,0,0,0,0,weak,0.0,Rest,,,none
ABHD3,ENSG00000158201,Stim48hr,0,0,0,1,1,0,0,0,0,0,weak,0.0,"Rest,Stim8hr",,,none
ACAT1,ENSG00000075239,Stim48hr,0,0,0,0,1,1,0,0,0,0,weak,0.0,"Stim8hr,Stim48hr",,,none
ACO1,ENSG00000122729,Stim48hr,0,0,0,1,1,1,0,0,0,0,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
ACOT4,ENSG00000177465,Stim48hr,0,0,0,0,1,0,0,0,0,0,weak,0.0,Stim8hr,,,none
ACOX3,ENSG00000087008,Stim48hr,0,0,0,0,1,0,0,0,0,0,weak,0.0,Stim8hr,,,none
ACSF2,ENSG00000167107,Stim48hr,0,0,0,0,0,1,0,0,0,0,weak,0.0,Stim48hr,,,none
ACVR1B,ENSG00000135503,Stim48hr,0,0,0,0,1,0,0,0,0,0,weak,0.0,Stim8hr,,,none
ACY1,ENSG00000243989,Stim48hr,0,0,0,1,1,1,0,0,0,0,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
ADA,ENSG00000196839,Stim48hr,0,0,0,1,1,0,0,0,0,0,weak,0.0,"Rest,Stim8hr",,,none
ADK,ENSG00000156110,Stim48hr,0,0,0,0,0,1,0,0,0,0,weak,0.0,Stim48hr,,,none
AGL,ENSG00000162688,Stim48hr,0,0,0,0,1,1,0,0,0,0,weak,0.0,"Stim8hr,Stim48hr",,,none
AGO2,ENSG00000123908,Stim48hr,0,0,0,0,0,1,0,0,0,0,weak,0.0,Stim48hr,,,none
AIF1,ENSG00000204472,Stim48hr,0,0,0,1,1,0,0,0,0,0,weak,0.0,"Rest,Stim8hr",,,none
AIFM2,ENSG00000042286,Stim48hr,0,0,0,0,1,1,0,0,0,0,weak,0.0,"Stim8hr,Stim48hr",,,none
AIG1,ENSG00000146416,Stim48hr,0,0,0,1,1,1,0,0,0,0,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
AIM2,ENSG00000163568,Stim48hr,0,0,0,0,1,0,0,0,0,0,weak,0.0,Stim8hr,,,none
AKAP5,ENSG00000179841,Stim48hr,0,0,0,0,0,1,0,0,0,0,weak,0.0,Stim48hr,,,none
AKNA,ENSG00000106948,Stim48hr,0,0,0,1,1,0,0,0,0,0,weak,0.0,"Rest,Stim8hr",,,none
ALCAM,ENSG00000170017,Stim48hr,0,0,0,0,1,1,0,0,0,0,weak,0.0,"Stim8hr,Stim48hr",,,none
ALOX5AP,ENSG00000132965,Stim48hr,0,0,0,1,1,1,0,0,0,0,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
AMN1,ENSG00000151743,Stim48hr,0,0,0,1,1,1,0,0,0,0,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
ANGPTL6,ENSG00000130812,Stim48hr,0,0,0,0,0,1,0,0,0,0,weak,0.0,Stim48hr,,,none
ANKRD13C,ENSG00000118454,Stim48hr,0,0,0,0,1,0,0,0,0,0,weak,0.0,Stim8hr,,,none
ANKRD33B,ENSG00000164236,Stim48hr,0,0,0,0,1,0,0,0,0,0,weak,0.0,Stim8hr,,,none
ANKRD36,ENSG00000135976,Stim48hr,0,0,0,1,1,1,0,0,0,0,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
ANKRD37,ENSG00000186352,Stim48hr,0,0,0,0,1,0,0,0,0,0,weak,0.0,Stim8hr,,,none
ANKRD54,ENSG00000100124,Stim48hr,0,0,0,1,0,0,0,0,0,0,weak,0.0,Rest,,,none
ANXA1,ENSG00000135046,Stim48hr,0,0,0,1,0,0,0,0,0,0,weak,0.0,Rest,,,none
ANXA11,ENSG00000122359,Stim48hr,0,0,0,1,1,1,0,0,0,0,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
ANXA2R,ENSG00000177721,Stim48hr,0,0,0,0,0,1,0,0,0,0,weak,0.0,Stim48hr,,,none
ANXA5,ENSG00000164111,Stim48hr,0,0,0,0,1,0,0,0,0,0,weak,0.0,Stim8hr,,,none
AP1AR,ENSG00000138660,Stim48hr,0,0,0,0,1,0,0,0,0,0,weak,0.0,Stim8hr,,,none
AP4B1,ENSG00000134262,Stim48hr,0,0,0,0,1,1,0,0,0,0,weak,0.0,"Stim8hr,Stim48hr",,,none
AP5Z1,ENSG00000242802,Stim48hr,0,0,0,1,1,1,0,0,0,0,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
APEH,ENSG00000164062,Stim48hr,0,0,0,1,0,0,0,0,0,0,weak,0.0,Rest,,,none
APH1B,ENSG00000138613,Stim48hr,0,0,0,1,0,1,0,0,0,0,weak,0.0,"Rest,Stim48hr",,,none
APOBEC3F,ENSG00000128394,Stim48hr,0,0,0,0,1,0,0,0,0,0,weak,0.0,Stim8hr,,,none
APOBR,ENSG00000184730,Stim48hr,0,0,0,0,1,0,0,0,0,0,weak,0.0,Stim8hr,,,none
APOO,ENSG00000184831,Stim48hr,0,0,0,1,1,1,0,0,0,0,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
AQP3,ENSG00000165272,Stim48hr,0,0,0,0,0,1,0,0,0,0,weak,0.0,Stim48hr,,,none
ARAP3,ENSG00000120318,Stim48hr,0,0,0,0,0,1,0,0,0,0,weak,0.0,Stim48hr,,,none
ARHGAP18,ENSG00000146376,Stim48hr,0,0,0,0,1,0,0,0,0,0,weak,0.0,Stim8hr,,,none
ARHGAP25,ENSG00000163219,Stim48hr,0,0,0,0,1,0,0,0,0,0,weak,0.0,Stim8hr,,,none
ARHGAP9,ENSG00000123329,Stim48hr,0,0,0,1,1,1,0,0,0,0,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
ARHGDIA,ENSG00000141522,Stim48hr,0,0,0,1,1,0,0,0,0,0,weak,0.0,"Rest,Stim8hr",,,none
ARHGEF12,ENSG00000196914,Stim48hr,0,0,0,1,1,1,0,0,0,0,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
ARHGEF39,ENSG00000137135,Stim48hr,0,0,0,0,0,1,0,0,0,0,weak,0.0,Stim48hr,,,none
ARID1B,ENSG00000049618,Stim48hr,0,0,0,1,0,1,0,0,0,0,weak,0.0,"Rest,Stim48hr",,,none
ARL6IP4,ENSG00000182196,Stim48hr,0,0,0,0,0,1,0,0,0,0,weak,0.0,Stim48hr,,,none
ARL6IP5,ENSG00000144746,Stim48hr,0,0,0,0,1,0,0,0,0,0,weak,0.0,Stim8hr,,,none
ARMC1,ENSG00000104442,Stim48hr,0,0,0,0,1,1,0,0,0,0,weak,0.0,"Stim8hr,Stim48hr",,,none
ASIC1,ENSG00000110881,Stim48hr,0,0,0,0,0,1,0,0,0,0,weak,0.0,Stim48hr,,,none
ASPSCR1,ENSG00000169696,Stim48hr,0,0,0,0,1,1,0,0,0,0,weak,0.0,"Stim8hr,Stim48hr",,,none
ATAD2,ENSG00000156802,Stim48hr,0,0,0,1,1,1,0,0,0,0,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
ATE1,ENSG00000107669,Stim48hr,0,0,0,1,1,1,0,0,0,0,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
ATF3,ENSG00000162772,Stim48hr,0,0,0,1,0,0,0,0,0,0,weak,0.0,Rest,,,none
ATG16L1,ENSG00000085978,Stim48hr,0,0,0,1,0,0,0,0,0,0,weak,0.0,Rest,,,none
ATG4B,ENSG00000168397,Stim48hr,0,0,0,0,0,1,0,0,0,0,weak,0.0,Stim48hr,,,none
ATG7,ENSG00000197548,Stim48hr,0,0,0,1,0,0,0,0,0,0,weak,0.0,Rest,,,none
ATOSB,ENSG00000005238,Stim48hr,0,0,0,0,0,1,0,0,0,0,weak,0.0,Stim48hr,,,none
ATP11A,ENSG00000068650,Stim48hr,0,0,0,1,1,1,0,0,0,0,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
ATP5IF1,ENSG00000130770,Stim48hr,0,0,0,1,1,1,0,0,0,0,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
ATP5MC2,ENSG00000135390,Stim48hr,0,0,0,1,1,1,0,0,0,0,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
B3GALT4,ENSG00000235863,Stim48hr,0,0,0,1,0,1,0,0,0,0,weak,0.0,"Rest,Stim48hr",,,none
B3GAT3,ENSG00000149541,Stim48hr,0,0,0,1,1,1,0,0,0,0,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
B3GLCT,ENSG00000187676,Stim48hr,0,0,0,0,0,1,0,0,0,0,weak,0.0,Stim48hr,,,none
B4GALT2,ENSG00000117411,Stim48hr,0,0,0,1,0,1,0,0,0,0,weak,0.0,"Rest,Stim48hr",,,none
B9D2,ENSG00000123810,Stim48hr,0,0,0,1,0,1,0,0,0,0,weak,0.0,"Rest,Stim48hr",,,none
BAG3,ENSG00000151929,Stim48hr,0,0,0,0,1,1,0,0,0,0,weak,0.0,"Stim8hr,Stim48hr",,,none
BBS4,ENSG00000140463,Stim48hr,0,0,0,0,1,1,0,0,0,0,weak,0.0,"Stim8hr,Stim48hr",,,none
BICD2,ENSG00000185963,Stim48hr,0,0,0,0,1,1,0,0,0,0,weak,0.0,"Stim8hr,Stim48hr",,,none
BLOC1S5,ENSG00000188428,Stim48hr,0,0,0,0,0,1,0,0,0,0,weak,0.0,Stim48hr,,,none
BLVRA,ENSG00000106605,Stim48hr,0,0,0,1,1,0,0,0,0,0,weak,0.0,"Rest,Stim8hr",,,none
BLVRB,ENSG00000090013,Stim48hr,0,0,0,1,0,1,0,0,0,0,weak,0.0,"Rest,Stim48hr",,,none
BMP2K,ENSG00000138756,Stim48hr,0,0,0,0,1,1,0,0,0,0,weak,0.0,"Stim8hr,Stim48hr",,,none
BRD3,ENSG00000169925,Stim48hr,0,0,0,1,1,1,0,0,0,0,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
BSDC1,ENSG00000160058,Stim48hr,0,0,0,1,1,1,0,0,0,0,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
BTN2A2,ENSG00000124508,Stim48hr,0,0,0,0,0,1,0,0,0,0,weak,0.0,Stim48hr,,,none
C14orf93,ENSG00000100802,Stim48hr,0,0,0,0,0,1,0,0,0,0,weak,0.0,Stim48hr,,,none
C16orf54,ENSG00000185905,Stim48hr,0,0,0,1,1,0,0,0,0,0,weak,0.0,"Rest,Stim8hr",,,none
C17orf58,ENSG00000186665,Stim48hr,0,0,0,0,1,1,0,0,0,0,weak,0.0,"Stim8hr,Stim48hr",,,none
C21orf91,ENSG00000154642,Stim48hr,0,0,0,1,1,1,0,0,0,0,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
C3orf52,ENSG00000114529,Stim48hr,0,0,0,0,1,0,0,0,0,0,weak,0.0,Stim8hr,,,none
C6orf136,ENSG00000204564,Stim48hr,0,0,0,1,1,1,0,0,0,0,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
C8orf76,ENSG00000189376,Stim48hr,0,0,0,0,1,1,0,0,0,0,weak,0.0,"Stim8hr,Stim48hr",,,none
C9orf40,ENSG00000135045,Stim48hr,0,0,0,0,0,1,0,0,0,0,weak,0.0,Stim48hr,,,none
CACUL1,ENSG00000151893,Stim48hr,0,0,0,0,1,0,0,0,0,0,weak,0.0,Stim8hr,,,none
CALM2,ENSG00000143933,Stim48hr,0,0,0,0,0,1,0,0,0,0,weak,0.0,Stim48hr,,,none
CALM3,ENSG00000160014,Stim48hr,0,0,0,1,1,1,0,0,0,0,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
CARD16,ENSG00000204397,Stim48hr,0,0,0,1,0,0,0,0,0,0,weak,0.0,Rest,,,none
CASP4,ENSG00000196954,Stim48hr,0,0,0,1,1,1,0,0,0,0,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
CASS4,ENSG00000087589,Stim48hr,0,0,0,0,1,0,0,0,0,0,weak,0.0,Stim8hr,,,none
CBS,ENSG00000160200,Stim48hr,0,0,0,0,0,1,0,0,0,0,weak,0.0,Stim48hr,,,none
CCDC107,ENSG00000159884,Stim48hr,0,0,0,1,0,0,0,0,0,0,weak,0.0,Rest,,,none
CCDC112,ENSG00000164221,Stim48hr,0,0,0,1,0,0,0,0,0,0,weak,0.0,Rest,,,none
CCDC117,ENSG00000159873,Stim48hr,0,0,0,0,1,0,0,0,0,0,weak,0.0,Stim8hr,,,none
CCDC15,ENSG00000149548,Stim48hr,0,0,0,0,0,1,0,0,0,0,weak,0.0,Stim48hr,,,none
CCDC34,ENSG00000109881,Stim48hr,0,0,0,1,1,1,0,0,0,0,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
CCDC47,ENSG00000108588,Stim48hr,0,0,0,0,0,1,0,0,0,0,weak,0.0,Stim48hr,,,none
CCDC61,ENSG00000104983,Stim48hr,0,0,0,0,1,0,0,0,0,0,weak,0.0,Stim8hr,,,none
CCDC85C,ENSG00000205476,Stim48hr,0,0,0,0,1,0,0,0,0,0,weak,0.0,Stim8hr,,,none
CCDC97,ENSG00000142039,Stim48hr,0,0,0,1,1,1,0,0,0,0,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
CCL4,ENSG00000275302,Stim48hr,0,0,0,0,1,1,0,1,1,0,weak,0.0,"Stim8hr,Stim48hr",,,none
CCM2,ENSG00000136280,Stim48hr,0,0,0,1,0,0,0,0,0,0,weak,0.0,Rest,,,none
CCNDBP1,ENSG00000166946,Stim48hr,0,0,0,1,1,0,0,0,0,0,weak,0.0,"Rest,Stim8hr",,,none
CD101,ENSG00000134256,Stim48hr,0,0,0,0,0,1,0,0,0,0,weak,0.0,Stim48hr,,,none
CD320,ENSG00000167775,Stim48hr,0,0,0,1,1,0,0,0,0,0,weak,0.0,"Rest,Stim8hr",,,none
CD4,ENSG00000010610,Stim48hr,0,0,0,1,1,1,0,0,0,0,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
CD58,ENSG00000116815,Stim48hr,0,0,0,1,1,0,0,0,0,0,weak,0.0,"Rest,Stim8hr",,,none
CD72,ENSG00000137101,Stim48hr,0,0,0,0,0,1,0,0,0,0,weak,0.0,Stim48hr,,,none
CD74,ENSG00000019582,Stim48hr,0,0,0,1,0,0,0,0,0,0,weak,0.0,Rest,,,none
CD81,ENSG00000110651,Stim48hr,0,0,0,0,1,0,0,0,0,0,weak,0.0,Stim8hr,,,none
CD84,ENSG00000066294,Stim48hr,0,0,0,0,1,0,0,0,0,0,weak,0.0,Stim8hr,,,none
CD99,ENSG00000002586,Stim48hr,0,0,0,1,0,0,0,0,0,0,weak,0.0,Rest,,,none
CDK5RAP2,ENSG00000136861,Stim48hr,0,0,0,0,1,1,0,0,0,0,weak,0.0,"Stim8hr,Stim48hr",,,none
CEP20,ENSG00000133393,Stim48hr,0,0,0,1,1,1,0,0,0,0,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
CEP250,ENSG00000126001,Stim48hr,0,0,0,0,1,1,0,0,0,0,weak,0.0,"Stim8hr,Stim48hr",,,none
CEP57L1,ENSG00000183137,Stim48hr,0,0,0,1,0,1,0,0,0,0,weak,0.0,"Rest,Stim48hr",,,none
CERK,ENSG00000100422,Stim48hr,0,0,0,0,0,1,0,0,0,0,weak,0.0,Stim48hr,,,none
CES4A,ENSG00000172824,Stim48hr,0,0,0,0,1,0,0,0,0,0,weak,0.0,Stim8hr,,,none
CETN3,ENSG00000153140,Stim48hr,0,0,0,1,0,1,0,0,0,0,weak,0.0,"Rest,Stim48hr",,,none
CFAP410,ENSG00000160226,Stim48hr,0,0,0,1,0,0,0,0,0,0,weak,0.0,Rest,,,none
CFP,ENSG00000126759,Stim48hr,0,0,0,1,0,0,0,0,0,0,weak,0.0,Rest,,,none
CGREF1,ENSG00000138028,Stim48hr,0,0,0,0,1,1,0,0,0,0,weak,0.0,"Stim8hr,Stim48hr",,,none
CHAC1,ENSG00000128965,Stim48hr,0,0,0,0,0,1,0,0,0,0,weak,0.0,Stim48hr,,,none
CHCHD6,ENSG00000159685,Stim48hr,0,0,0,0,0,1,0,0,0,0,weak,0.0,Stim48hr,,,none
CHD3,ENSG00000170004,Stim48hr,0,0,0,0,1,0,0,0,0,0,weak,0.0,Stim8hr,,,none
CHMP1B,ENSG00000255112,Stim48hr,0,0,0,0,0,1,0,0,0,0,weak,0.0,Stim48hr,,,none
CHPF,ENSG00000123989,Stim48hr,0,0,0,1,1,1,0,0,0,0,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
CHST7,ENSG00000147119,Stim48hr,0,0,0,1,1,0,0,0,0,0,weak,0.0,"Rest,Stim8hr",,,none
CHSY1,ENSG00000131873,Stim48hr,0,0,0,1,0,0,0,0,0,0,weak,0.0,Rest,,,none
CIPC,ENSG00000198894,Stim48hr,0,0,0,0,1,0,0,0,0,0,weak,0.0,Stim8hr,,,none
CMC1,ENSG00000187118,Stim48hr,0,0,0,1,1,1,0,0,0,0,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
CMSS1,ENSG00000184220,Stim48hr,0,0,0,1,0,0,0,0,0,0,weak,0.0,Rest,,,none
CNEP1R1,ENSG00000205423,Stim48hr,0,0,0,0,0,1,0,0,0,0,weak,0.0,Stim48hr,,,none
CNPY2,ENSG00000257727,Stim48hr,0,0,0,1,0,0,0,0,0,0,weak,0.0,Rest,,,none
COQ10A,ENSG00000135469,Stim48hr,0,0,0,0,1,1,0,0,0,0,weak,0.0,"Stim8hr,Stim48hr",,,none
COX6A1,ENSG00000111775,Stim48hr,0,0,0,0,1,0,0,0,0,0,weak,0.0,Stim8hr,,,none
COX7A2,ENSG00000112695,Stim48hr,0,0,0,0,1,0,0,0,0,0,weak,0.0,Stim8hr,,,none
CPEB2,ENSG00000137449,Stim48hr,0,0,0,0,1,0,0,0,0,0,weak,0.0,Stim8hr,,,none
CPPED1,ENSG00000103381,Stim48hr,0,0,0,1,1,1,0,0,0,0,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
CPT2,ENSG00000157184,Stim48hr,0,0,0,0,1,1,0,0,0,0,weak,0.0,"Stim8hr,Stim48hr",,,none
CRACR2A,ENSG00000130038,Stim48hr,0,0,0,0,0,1,0,0,0,0,weak,0.0,Stim48hr,,,none
CREBRF,ENSG00000164463,Stim48hr,0,0,0,1,1,1,0,0,0,0,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
CSF1,ENSG00000184371,Stim48hr,0,0,0,0,1,1,0,0,0,0,weak,0.0,"Stim8hr,Stim48hr",,,none
CSPP1,ENSG00000104218,Stim48hr,0,0,0,1,1,0,0,0,0,0,weak,0.0,"Rest,Stim8hr",,,none
CTSH,ENSG00000103811,Stim48hr,0,0,0,1,0,0,0,0,0,0,weak,0.0,Rest,,,none
CXCL8,ENSG00000169429,Stim48hr,0,0,0,0,0,1,0,0,0,0,weak,0.0,Stim48hr,,,none
CXCR4,ENSG00000121966,Stim48hr,0,0,0,0,1,1,0,0,0,0,weak,0.0,"Stim8hr,Stim48hr",,,none
CYB561,ENSG00000008283,Stim48hr,0,0,0,1,0,0,0,0,0,0,weak,0.0,Rest,,,none
CYBA,ENSG00000051523,Stim48hr,0,0,0,0,1,1,0,0,0,0,weak,0.0,"Stim8hr,Stim48hr",,,none
CYTH1,ENSG00000108669,Stim48hr,0,0,0,0,1,0,0,0,0,0,weak,0.0,Stim8hr,,,none
DAPK3,ENSG00000167657,Stim48hr,0,0,0,0,0,1,0,0,0,0,weak,0.0,Stim48hr,,,none
DAZAP2,ENSG00000183283,Stim48hr,0,0,0,1,1,1,0,0,0,0,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
DCAF12,ENSG00000198876,Stim48hr,0,0,0,0,1,0,0,0,0,0,weak,0.0,Stim8hr,,,none
DDX19B,ENSG00000157349,Stim48hr,0,0,0,1,1,1,0,0,0,0,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
DECR1,ENSG00000104325,Stim48hr,0,0,0,0,1,0,0,0,0,0,weak,0.0,Stim8hr,,,none
DEPDC1,ENSG00000024526,Stim48hr,0,0,0,1,1,0,0,0,0,0,weak,0.0,"Rest,Stim8hr",,,none
DGCR2,ENSG00000070413,Stim48hr,0,0,0,0,1,0,0,0,0,0,weak,0.0,Stim8hr,,,none
DGKA,ENSG00000065357,Stim48hr,0,0,0,0,1,1,0,0,0,0,weak,0.0,"Stim8hr,Stim48hr",,,none
DHRS7B,ENSG00000109016,Stim48hr,0,0,0,1,0,0,0,0,0,0,weak,0.0,Rest,,,none
DIPK1A,ENSG00000154511,Stim48hr,0,0,0,1,0,1,0,0,0,0,weak,0.0,"Rest,Stim48hr",,,none
DIXDC1,ENSG00000150764,Stim48hr,0,0,0,0,1,1,0,0,0,0,weak,0.0,"Stim8hr,Stim48hr",,,none
DLG1,ENSG00000075711,Stim48hr,0,0,0,0,1,1,0,0,0,0,weak,0.0,"Stim8hr,Stim48hr",,,none
DLGAP4,ENSG00000080845,Stim48hr,0,0,0,1,0,1,0,0,0,0,weak,0.0,"Rest,Stim48hr",,,none
DMC1,ENSG00000100206,Stim48hr,0,0,0,0,1,0,0,0,0,0,weak,0.0,Stim8hr,,,none
DNAJC1,ENSG00000136770,Stim48hr,0,0,0,1,0,0,0,0,0,0,weak,0.0,Rest,,,none
DNAL1,ENSG00000119661,Stim48hr,0,0,0,0,1,0,0,0,0,0,weak,0.0,Stim8hr,,,none
DNPH1,ENSG00000112667,Stim48hr,0,0,0,0,1,1,0,0,0,0,weak,0.0,"Stim8hr,Stim48hr",,,none
DOCK7,ENSG00000116641,Stim48hr,0,0,0,0,0,1,0,0,0,0,weak,0.0,Stim48hr,,,none
DPEP2,ENSG00000167261,Stim48hr,0,0,0,1,0,0,0,0,0,0,weak,0.0,Rest,,,none
DPP3,ENSG00000254986,Stim48hr,0,0,0,0,1,0,0,0,0,0,weak,0.0,Stim8hr,,,none
DPYD,ENSG00000188641,Stim48hr,0,0,0,1,1,1,0,0,0,0,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
DPYSL2,ENSG00000092964,Stim48hr,0,0,0,1,1,1,0,0,0,0,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
DSTN,ENSG00000125868,Stim48hr,0,0,0,1,1,1,0,0,0,0,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
DTWD2,ENSG00000169570,Stim48hr,0,0,0,0,0,1,0,0,0,0,weak,0.0,Stim48hr,,,none
DUSP19,ENSG00000162999,Stim48hr,0,0,0,0,0,1,0,0,0,0,weak,0.0,Stim48hr,,,none
DUSP22,ENSG00000112679,Stim48hr,0,0,0,1,1,0,0,0,0,0,weak,0.0,"Rest,Stim8hr",,,none
DVL2,ENSG00000004975,Stim48hr,0,0,0,1,0,0,0,0,0,0,weak,0.0,Rest,,,none
DYNC1LI1,ENSG00000144635,Stim48hr,0,0,0,1,1,1,0,0,0,0,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
DYNC1LI2,ENSG00000135720,Stim48hr,0,0,0,1,1,1,0,0,0,0,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
DYRK1A,ENSG00000157540,Stim48hr,0,0,0,1,1,0,0,0,0,0,weak,0.0,"Rest,Stim8hr",,,none
ECH1,ENSG00000104823,Stim48hr,0,0,0,0,1,1,0,0,0,0,weak,0.0,"Stim8hr,Stim48hr",,,none
ECHDC1,ENSG00000093144,Stim48hr,0,0,0,1,0,0,0,0,0,0,weak,0.0,Rest,,,none
EDARADD,ENSG00000186197,Stim48hr,0,0,0,0,1,1,0,0,0,0,weak,0.0,"Stim8hr,Stim48hr",,,none
EDEM3,ENSG00000116406,Stim48hr,0,0,0,0,0,1,0,0,0,0,weak,0.0,Stim48hr,,,none
EID1,ENSG00000255302,Stim48hr,0,0,0,0,1,0,0,0,0,0,weak,0.0,Stim8hr,,,none
EID3,ENSG00000255150,Stim48hr,0,0,0,0,1,0,0,0,0,0,weak,0.0,Stim8hr,,,none
EIF1AY,ENSG00000198692,Stim48hr,0,0,0,0,1,0,0,0,0,0,weak,0.0,Stim8hr,,,none
EIF4G3,ENSG00000075151,Stim48hr,0,0,0,0,0,1,0,0,0,0,weak,0.0,Stim48hr,,,none
ELMOD2,ENSG00000179387,Stim48hr,0,0,0,1,1,1,0,0,0,0,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
EML5,ENSG00000165521,Stim48hr,0,0,0,0,0,1,0,0,0,0,weak,0.0,Stim48hr,,,none
ENG,ENSG00000106991,Stim48hr,0,0,0,1,1,1,0,0,0,0,weak,0.0,"Rest,Stim8hr,Stim48hr",,,none
