gene,ensg,condition,Th1_score,Th2_score,Th17_score,Treg_score,Tfh_score,Th1_vs_Th2,Effector_vs_Treg,z_Th1_vs_Th2,z_Effector_vs_Treg,max_abs_z,primary_axis,shift_label,therapeutic_direction,n_sig_program_markers,ontarget_effect_size,n_downstream
HEATR3,ENSG00000155393,Stim8hr,1.052,-0.4575,0.2441,-0.941,1.0063,1.5095,1.2205,1.7758,2.3153,2.3153,Effector_vs_Treg,→Effector,boost-immunity,5,-5.0823,416
VPS13A,ENSG00000197969,Stim48hr,1.5467,-0.0691,-0.4208,-0.0378,1.2023,1.6158,0.39,2.3152,0.7487,2.3152,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),2,-13.7248,83
UBXN2A,ENSG00000173960,Rest,-0.7047,0.9885,-0.2784,-0.1023,0.2771,-1.6932,0.1042,-2.315,0.3009,2.315,Th1_vs_Th2,→Th2,skew-Th2,0,-10.5833,0
RBM27,ENSG00000091009,Rest,-0.6087,0.2771,0.473,0.99,0.2939,-0.8858,-0.9428,-1.212,-2.3141,2.3141,Effector_vs_Treg,→Treg,suppress-inflammation,0,-11.6448,436
ARHGAP45,ENSG00000180448,Stim8hr,0.3269,-0.826,-0.6295,-1.5959,-0.2207,1.1529,1.2197,1.31,2.3138,2.3138,Effector_vs_Treg,→Effector,boost-immunity,1,-7.6863,49
GJC1,ENSG00000182963,Stim48hr,-1.0279,-1.2593,-0.3515,-2.1722,-1.1533,0.2314,1.2927,0.2644,2.3137,2.3137,Effector_vs_Treg,→Effector,boost-immunity,4,-1.6701,133
RHOF,ENSG00000139725,Stim8hr,-0.7513,-0.5158,-0.9966,0.5069,-1.792,-0.2356,-1.2615,-0.5036,-2.3125,2.3125,Effector_vs_Treg,→Treg,suppress-inflammation,3,-15.473,393
SLC4A7,ENSG00000033867,Rest,0.7016,-0.9921,-0.2291,-0.7993,0.3471,1.6937,0.6261,2.3119,1.6045,2.3119,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-20.0625,14
PRPF39,ENSG00000185246,Stim48hr,0.6523,-0.3219,0.9438,-0.8668,-0.2181,0.9742,1.2915,1.3648,2.3117,2.3117,Effector_vs_Treg,→Effector,boost-immunity,1,-8.3268,206
KDM8,ENSG00000155666,Stim48hr,0.1206,-1.4924,-0.0398,-0.9674,-0.0159,1.6129,0.4969,2.3109,0.934,2.3109,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),4,-1.526,119
WAS,ENSG00000015285,Stim48hr,-0.9903,0.516,0.0466,0.1653,-0.8244,-1.5063,-0.3079,-2.3096,-0.4614,2.3096,Th1_vs_Th2,→Th2,skew-Th2,1,-23.9118,43
CACNB1,ENSG00000067191,Stim48hr,-0.224,1.282,-0.8706,-0.0513,-0.9133,-1.506,0.1138,-2.3091,0.2697,2.3091,Th1_vs_Th2,→Th2,skew-Th2,1,-5.812,2
KHDRBS1,ENSG00000121774,Stim8hr,2.3856,0.7838,0.9085,0.1433,0.2291,1.6018,1.2159,1.8964,2.3068,2.3068,Effector_vs_Treg,→Effector,boost-immunity,4,-8.9448,935
KRAS,ENSG00000133703,Stim8hr,-0.5978,1.0178,0.0147,0.1438,-0.8874,-1.6155,0.0011,-2.3062,0.0417,2.3062,Th1_vs_Th2,→Th2,skew-Th2,0,-13.5924,1
EFR3A,ENSG00000132294,Stim8hr,-0.1154,-0.469,-0.0319,-1.4209,0.2209,0.3536,1.2154,0.2659,2.3059,2.3059,Effector_vs_Treg,→Effector,boost-immunity,10,-8.6366,2029
IFNGR2,ENSG00000159128,Stim8hr,-1.7911,-0.176,-0.4698,0.0736,-0.7329,-1.6151,-0.8858,-2.3056,-1.6121,2.3056,Th1_vs_Th2,→Th2,skew-Th2,4,-4.7151,69
CANX,ENSG00000127022,Rest,-0.7219,0.9641,-0.2279,0.0438,0.351,-1.686,-0.039,-2.3052,-0.0566,2.3052,Th1_vs_Th2,→Th2,skew-Th2,0,-15.9343,15
PLK3,ENSG00000173846,Rest,-0.5663,1.1196,0.0678,0.0142,0.5901,-1.686,0.1928,-2.3051,0.5223,2.3051,Th1_vs_Th2,→Th2,skew-Th2,0,-16.2295,0
FRA10AC1,ENSG00000148690,Stim48hr,-0.7418,-0.8095,-0.0364,-1.8168,-0.6159,0.0677,1.2876,0.0221,2.3048,2.3048,Effector_vs_Treg,→Effector,boost-immunity,1,-11.9694,37
PPCS,ENSG00000127125,Rest,0.2688,-0.0831,0.7454,-0.5961,0.8101,0.3519,0.9065,0.4789,2.3047,2.3047,Effector_vs_Treg,→Effector,boost-immunity,4,-3.9328,675
SAAL1,ENSG00000166788,Stim8hr,0.6672,-1.2468,-0.4931,0.7533,0.3733,1.914,-1.1109,2.3041,-2.0317,2.3041,Th1_vs_Th2,→Th1; →Treg,suppress-inflammation,0,-9.1995,2
P4HA1,ENSG00000122884,Rest,-0.0254,-0.2609,-0.3325,-1.1123,-0.3561,0.2354,0.9061,0.3198,2.3037,2.3037,Effector_vs_Treg,→Effector,boost-immunity,0,-9.1329,0
CD5,ENSG00000110448,Stim48hr,0.6791,-0.3275,0.5979,-0.9702,1.6103,1.0066,1.2867,1.4128,2.3034,2.3034,Effector_vs_Treg,→Effector,boost-immunity,4,-27.8042,1200
KLHL24,ENSG00000114796,Rest,0.4714,-0.5424,0.0325,-0.9187,-1.2259,1.0138,0.9059,1.3831,2.3032,2.3032,Effector_vs_Treg,→Effector,boost-immunity,0,-7.8297,0
ZNF710,ENSG00000140548,Rest,-0.6496,1.0348,0.1396,-0.7161,-0.0877,-1.6843,0.8911,-2.3028,2.2663,2.3028,Th1_vs_Th2,→Th2; →Effector,boost-immunity,2,-1.8987,393
WBP1L,ENSG00000166272,Stim8hr,0.0637,0.0099,-0.1134,-1.2271,-0.1513,0.0538,1.2138,-0.1257,2.3028,2.3028,Effector_vs_Treg,→Effector,boost-immunity,1,-4.825,1
BIRC3,ENSG00000023445,Rest,-0.5204,0.0699,0.1729,-0.9982,-0.5326,-0.5903,0.9057,-0.8083,2.3027,2.3027,Effector_vs_Treg,→Effector,boost-immunity,0,-11.6926,3
LIMK2,ENSG00000182541,Stim48hr,0.3571,0.4184,-0.4924,1.4636,-0.7096,-0.0613,-1.3692,-0.169,-2.3015,2.3015,Effector_vs_Treg,→Treg,suppress-inflammation,0,-10.9713,23
ZNF649,ENSG00000198093,Stim8hr,0.3163,-1.5951,-0.124,-0.5347,-0.247,1.9115,0.0671,2.3009,0.1646,2.3009,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),3,-6.9347,280
NHERF1,ENSG00000109062,Rest,0.0046,1.6859,-0.1529,0.0312,-0.0097,-1.6813,0.4813,-2.2988,1.2428,2.2988,Th1_vs_Th2,→Th2,skew-Th2,0,-26.1453,7
PSMD5,ENSG00000095261,Stim8hr,-0.5969,-0.0812,-0.6755,0.8027,-0.2517,-0.5156,-1.2539,-0.8695,-2.2983,2.2983,Effector_vs_Treg,→Treg,suppress-inflammation,0,-7.5433,1
ACTR2,ENSG00000138071,Stim8hr,-0.3598,-0.3849,-0.3375,-1.5719,-0.1763,0.0251,1.2112,-0.1631,2.2979,2.2979,Effector_vs_Treg,→Effector,boost-immunity,5,-18.8942,582
CANX,ENSG00000127022,Stim48hr,-0.0223,-0.2069,0.0522,-1.3421,-0.178,0.1845,1.2831,0.1951,2.2971,2.2971,Effector_vs_Treg,→Effector,boost-immunity,0,-20.281,39
EIF4E3,ENSG00000163412,Rest,1.0203,-0.6611,-0.2805,-0.8293,-0.4644,1.6815,0.8556,2.2952,2.1776,2.2952,Th1_vs_Th2,→Th1; →Effector,boost-immunity,0,-22.629,0
KRBA2,ENSG00000184619,Stim8hr,-0.4279,-1.0835,-1.5204,0.2414,-1.0267,0.6556,-1.252,0.6605,-2.2949,2.2949,Effector_vs_Treg,→Treg,suppress-inflammation,2,-5.2335,175
CRTAP,ENSG00000170275,Rest,-0.0469,-0.6066,-0.8009,0.4496,1.246,0.5597,-0.9344,0.7628,-2.2929,2.2929,Effector_vs_Treg,→Treg,suppress-inflammation,2,-12.8044,76
CRLF3,ENSG00000176390,Stim48hr,0.9472,-0.6522,-0.7528,0.327,-0.3977,1.5995,-0.4796,2.291,-0.7591,2.291,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-15.2225,14
NFKBIA,ENSG00000100906,Stim48hr,-0.9009,0.5928,-0.5521,-0.5184,0.1649,-1.4936,0.2317,-2.2908,0.4741,2.2908,Th1_vs_Th2,→Th2,skew-Th2,0,-6.3447,3
ALDH9A1,ENSG00000143149,Rest,-0.2077,1.4677,-0.4624,-0.6098,0.258,-1.6754,0.8757,-2.2907,2.2279,2.2907,Th1_vs_Th2,→Th2; →Effector,boost-immunity,0,-14.7268,1
CNIH4,ENSG00000143771,Stim8hr,0.607,-0.1039,-0.4466,1.2679,0.2704,0.7109,-1.2491,0.7326,-2.2893,2.2893,Effector_vs_Treg,→Treg,suppress-inflammation,1,-15.9307,42
ZC3H12A,ENSG00000163874,Rest,0.5286,-0.7311,-0.255,-1.0509,0.4307,1.2597,0.8984,1.719,2.2845,2.2845,Effector_vs_Treg,→Effector,boost-immunity,3,-6.1225,180
TMEM254,ENSG00000133678,Stim8hr,-0.0036,0.4126,-0.0726,1.3584,0.738,-0.4162,-1.2463,-0.7395,-2.2842,2.2842,Effector_vs_Treg,→Treg,suppress-inflammation,2,-4.4295,39
ATP5F1B,ENSG00000110955,Rest,-1.5167,0.1534,0.039,-0.2148,0.5806,-1.67,-0.2267,-2.2834,-0.5253,2.2834,Th1_vs_Th2,→Th2,skew-Th2,1,-6.0865,123
HASPIN,ENSG00000177602,Stim48hr,-0.3202,-0.4888,-0.0137,-1.5483,0.4093,0.1685,1.2741,0.1714,2.2815,2.2815,Effector_vs_Treg,→Effector,boost-immunity,0,-9.6967,2
WDR54,ENSG00000005448,Stim8hr,-0.3467,-0.0895,-0.8241,0.824,-0.925,-0.2572,-1.2441,-0.5318,-2.2801,2.2801,Effector_vs_Treg,→Treg,suppress-inflammation,0,-11.3328,102
USP22,ENSG00000124422,Stim8hr,1.2526,-0.6427,-0.802,0.2236,-1.5877,1.8953,-0.2876,2.2798,-0.4967,2.2798,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),11,-25.19,2380
NAXE,ENSG00000163382,Stim48hr,-0.2612,1.2249,0.0104,0.0398,0.8497,-1.4861,0.2849,-2.2796,0.5664,2.2796,Th1_vs_Th2,→Th2,skew-Th2,0,-19.6556,4
MTFR1,ENSG00000066855,Rest,-0.9756,0.6915,-0.6784,-0.2338,-0.5051,-1.6671,-0.087,-2.2793,-0.1766,2.2793,Th1_vs_Th2,→Th2,skew-Th2,0,-13.6743,4
LEMD3,ENSG00000174106,Stim48hr,0.4476,0.2498,0.1843,-0.9783,0.7301,0.1978,1.2722,0.2147,2.2782,2.2782,Effector_vs_Treg,→Effector,boost-immunity,0,-5.2199,5
SUMO3,ENSG00000184900,Stim48hr,0.269,-1.3216,-0.3288,0.0457,-0.3011,1.5906,-0.5061,2.2779,-0.8051,2.2779,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),1,-6.4555,37
RNF20,ENSG00000155827,Stim8hr,-0.2159,-2.1098,-0.0358,-1.8439,-0.8026,1.8939,1.0568,2.2779,2.01,2.2779,Th1_vs_Th2,→Th1; →Effector,boost-immunity,10,-5.2818,627
BAHD1,ENSG00000140320,Stim8hr,1.0278,-0.8656,-0.6832,0.076,0.7463,1.8934,-0.2497,2.2773,-0.426,2.2773,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-13.7493,95
SETD7,ENSG00000145391,Stim48hr,-0.7362,-0.2897,0.3786,-1.4872,-0.2501,-0.4465,1.2714,-0.7396,2.2769,2.2769,Effector_vs_Treg,→Effector,boost-immunity,1,-6.5048,68
MOSPD1,ENSG00000101928,Rest,-0.2546,1.4104,0.1155,0.7076,-0.2656,-1.6649,-0.2838,-2.2764,-0.668,2.2764,Th1_vs_Th2,→Th2,skew-Th2,0,-5.8989,153
VSIG10,ENSG00000176834,Stim48hr,0.8144,-0.7744,0.4126,0.3041,0.5057,1.5888,-0.1532,2.2752,-0.1932,2.2752,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-5.9833,2
DHX9,ENSG00000135829,Stim48hr,0.0034,-0.7718,0.2636,-1.4377,0.68,0.7752,1.2694,1.07,2.2734,2.2734,Effector_vs_Treg,→Effector,boost-immunity,4,-6.8772,187
ATP13A1,ENSG00000105726,Stim8hr,1.1173,-0.7726,0.0876,-0.3782,-0.3679,1.89,0.5223,2.2728,1.0135,2.2728,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-12.017,2
GORASP2,ENSG00000115806,Stim8hr,1.1256,-0.7626,0.6349,-0.0809,-0.1681,1.8882,0.4135,2.2705,0.8106,2.2705,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-27.7984,43
CDKN2AIPNL,ENSG00000237190,Stim8hr,-0.7927,0.7952,-0.4751,0.6334,0.3174,-1.5879,-0.791,-2.2701,-1.4352,2.2701,Th1_vs_Th2,→Th2,skew-Th2,0,-16.2964,1
ACSL4,ENSG00000068366,Stim8hr,0.0042,0.3056,-0.79,1.0787,-0.0289,-0.3014,-1.2387,-0.5896,-2.2701,2.2701,Effector_vs_Treg,→Treg,suppress-inflammation,0,-20.8451,3
HNRNPDL,ENSG00000152795,Stim48hr,-0.9509,-0.1132,0.0778,-1.5957,-0.5123,-0.8376,1.2669,-1.319,2.2689,2.2689,Effector_vs_Treg,→Effector,boost-immunity,2,-5.0336,84
MED23,ENSG00000112282,Stim8hr,-0.4559,1.1306,0.6071,0.9872,-0.0084,-1.5865,-0.5599,-2.2683,-1.0044,2.2683,Th1_vs_Th2,→Th2,skew-Th2,9,-16.0876,1011
STAG2,ENSG00000101972,Stim48hr,-1.0344,0.3268,0.7752,-1.2437,-0.1219,-1.3612,1.2662,-2.0946,2.2678,2.2678,Effector_vs_Treg,→Th2; →Effector,boost-immunity,2,-16.5034,186
DPH6,ENSG00000134146,Stim48hr,-0.6723,0.805,0.0964,1.1393,0.2999,-1.4773,-1.063,-2.2666,-1.7706,2.2666,Th1_vs_Th2,→Th2,skew-Th2,5,-7.0405,717
PACS1,ENSG00000175115,Rest,-0.5183,1.1391,-0.2471,0.3971,-0.3873,-1.6575,-0.2726,-2.2662,-0.64,2.2662,Th1_vs_Th2,→Th2,skew-Th2,0,-15.0063,1
ELOA,ENSG00000011007,Stim48hr,-0.3534,-0.523,0.9259,-1.2482,0.1061,0.1696,1.2647,0.1729,2.2652,2.2652,Effector_vs_Treg,→Effector,boost-immunity,1,-9.7565,14
ZUP1,ENSG00000153975,Rest,0.2717,-0.1831,0.7779,-0.6014,0.3131,0.4548,0.8902,0.6194,2.2643,2.2643,Effector_vs_Treg,→Effector,boost-immunity,0,-12.7684,1
RANBP10,ENSG00000141084,Rest,-0.3541,0.9711,-0.1159,-0.7231,0.0084,-1.3252,0.8902,-1.8123,2.264,2.264,Effector_vs_Treg,→Effector,boost-immunity,1,-10.7791,2
ATG4D,ENSG00000130734,Stim48hr,-0.4614,1.0136,0.131,-0.5931,-0.6337,-1.4751,0.8208,-2.2633,1.4956,2.2633,Th1_vs_Th2,→Th2,skew-Th2,0,-6.3677,3
ADCK5,ENSG00000173137,Rest,-0.3176,0.4332,0.0294,-0.841,-0.381,-0.7508,0.8894,-1.0276,2.262,2.262,Effector_vs_Treg,→Effector,boost-immunity,0,-7.6895,0
CRLF3,ENSG00000176390,Rest,0.5807,-1.0756,-0.2716,-0.5462,-0.5867,1.6563,0.2907,2.2608,0.7668,2.2608,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-15.6565,8
GNLY,ENSG00000115523,Rest,0.4167,-0.5614,-0.0875,-0.9657,0.3506,0.978,0.8883,1.3342,2.2593,2.2593,Effector_vs_Treg,→Effector,boost-immunity,0,-4.8469,52
RNF115,ENSG00000265491,Stim48hr,-0.8873,0.5846,0.1645,0.3933,0.2241,-1.472,-0.4394,-2.2586,-0.6894,2.2586,Th1_vs_Th2,→Th2,skew-Th2,1,-9.2999,7
TLK1,ENSG00000198586,Stim48hr,0.4872,0.467,0.5856,-0.7467,0.2619,0.0202,1.2599,-0.0483,2.2569,2.2569,Effector_vs_Treg,→Effector,boost-immunity,0,-5.7489,10
GCFC2,ENSG00000005436,Stim48hr,-0.25,0.0587,-0.4383,-1.4698,-0.4529,-0.3088,1.2599,-0.5356,2.2569,2.2569,Effector_vs_Treg,→Effector,boost-immunity,0,-12.8244,6
LAMP1,ENSG00000185896,Stim48hr,0.8122,-0.7637,0.824,0.1788,-0.7274,1.576,0.112,2.2562,0.2667,2.2562,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-21.242,31
SIK2,ENSG00000170145,Stim48hr,0.3022,0.3988,0.3999,-0.8918,0.0016,-0.0965,1.2587,-0.2212,2.2548,2.2548,Effector_vs_Treg,→Effector,boost-immunity,0,-5.7071,10
TXLNG,ENSG00000086712,Rest,0.9079,-0.7435,0.1096,-0.2804,-0.2776,1.6514,0.3718,2.2541,0.9693,2.2541,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-11.5186,9
SLC26A2,ENSG00000155850,Stim48hr,1.4292,-0.1445,0.0295,0.3507,0.4709,1.5737,0.0874,2.2529,0.224,2.2529,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-7.1429,3
KLHL17,ENSG00000187961,Stim8hr,0.2853,-0.371,1.3954,-0.7502,-0.076,0.6563,1.1868,0.6614,2.2524,2.2524,Effector_vs_Treg,→Effector,boost-immunity,1,-7.1031,3
SDHAF4,ENSG00000154079,Stim8hr,-1.1704,0.4034,-0.6935,0.0548,0.0801,-1.5738,-0.5416,-2.2517,-0.9703,2.2517,Th1_vs_Th2,→Th2,skew-Th2,0,-8.2508,60
DEF6,ENSG00000023892,Rest,-0.9657,0.681,-0.405,-0.2887,-0.5566,-1.6467,0.0588,-2.2514,0.1876,2.2514,Th1_vs_Th2,→Th2,skew-Th2,0,-21.513,0
NAA30,ENSG00000139977,Stim48hr,1.8909,0.9814,0.1935,-0.2346,0.4449,0.9095,1.2565,1.269,2.2509,2.2509,Effector_vs_Treg,→Effector,boost-immunity,5,-5.881,648
PRR12,ENSG00000126464,Rest,0.9461,-0.7021,0.2591,0.2939,0.7844,1.6482,-0.1262,2.2498,-0.2744,2.2498,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-23.6382,51
PRMT9,ENSG00000164169,Stim48hr,0.8739,-0.6958,-0.6147,0.4748,0.3591,1.5696,-0.6203,2.2468,-1.0031,2.2468,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-5.8651,30
ATXN2L,ENSG00000168488,Rest,-1.4664,0.1755,-0.4368,0.1493,-0.3711,-1.6419,-0.7252,-2.245,-1.7706,2.245,Th1_vs_Th2,→Th2,skew-Th2,0,-15.1286,117
LSM12,ENSG00000161654,Stim48hr,0.5549,-1.0134,0.4101,-0.0123,-0.5967,1.5683,-0.0038,2.2448,0.0659,2.2448,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),2,-14.501,519
PSD4,ENSG00000125637,Stim8hr,0.1773,-1.0035,-0.4933,-1.6218,0.6199,1.1808,1.182,1.3465,2.2434,2.2434,Effector_vs_Treg,→Effector,boost-immunity,1,-30.0512,3
RAD50,ENSG00000113522,Stim8hr,0.2913,-1.576,-0.0431,-0.2882,-0.2727,1.8673,-0.1544,2.2432,-0.2483,2.2432,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-7.0157,17
MAP2K6,ENSG00000108984,Stim48hr,-0.0593,-0.4978,-0.8006,0.8827,-0.2521,0.4384,-1.3352,0.5712,-2.2426,2.2426,Effector_vs_Treg,→Treg,suppress-inflammation,0,-4.8549,2
CIAO1,ENSG00000144021,Rest,-1.0922,0.548,-0.1171,-0.4786,0.0653,-1.6402,0.2581,-2.2426,0.6854,2.2426,Th1_vs_Th2,→Th2,skew-Th2,0,-7.5299,7
POC1B,ENSG00000139323,Stim8hr,-1.3148,0.2516,-0.4635,0.5344,0.0997,-1.5664,-1.0433,-2.242,-1.9057,2.242,Th1_vs_Th2,→Th2,skew-Th2,1,-6.2966,28
CASC3,ENSG00000108349,Rest,-1.0331,0.6061,-0.1565,-0.5888,-0.4297,-1.6392,0.3943,-2.2413,1.0255,2.2413,Th1_vs_Th2,→Th2,skew-Th2,7,-15.9732,1238
WDR7,ENSG00000091157,Stim48hr,-0.6908,0.713,-0.2224,-1.3176,0.6697,-1.4038,1.2508,-2.1576,2.2412,2.2412,Effector_vs_Treg,→Th2; →Effector,boost-immunity,2,-1.7904,149
CLIP1,ENSG00000130779,Stim8hr,-1.4188,0.1466,-0.162,-0.8408,-0.3503,-1.5654,0.3627,-2.2407,0.7159,2.2407,Th1_vs_Th2,→Th2,skew-Th2,0,-17.3105,1
STAT5B,ENSG00000173757,Stim8hr,-1.1659,-1.0002,-0.5115,-2.0726,0.0026,-0.1656,1.18,-0.4123,2.2398,2.2398,Effector_vs_Treg,→Effector,boost-immunity,10,-7.5014,594
LRFN4,ENSG00000173621,Stim8hr,0.4183,-1.4458,-0.6618,-0.3473,0.9724,1.8641,-0.2157,2.239,-0.3626,2.239,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),1,-9.9163,6
DDX19A,ENSG00000168872,Stim48hr,-0.7539,0.7048,0.2997,0.3893,-0.657,-1.4586,-0.3058,-2.2389,-0.4578,2.2389,Th1_vs_Th2,→Th2,skew-Th2,0,-10.0211,6
ELAVL1,ENSG00000066044,Stim8hr,-0.6787,0.8854,0.7668,1.1531,0.7557,-1.564,-0.8286,-2.2389,-1.5054,2.2389,Th1_vs_Th2,→Th2,skew-Th2,9,-51.4084,2169
ELP1,ENSG00000070061,Stim8hr,0.3667,-1.497,0.1049,-0.1522,0.311,1.8637,-0.1896,2.2384,-0.3139,2.2384,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),4,-6.2503,827
PRRC2C,ENSG00000117523,Stim8hr,0.8372,-1.0259,-0.4455,-0.1073,0.2359,1.8631,-0.1041,2.2377,-0.1544,2.2377,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),2,-18.2121,38
MANBA,ENSG00000109323,Stim48hr,0.549,0.5506,0.6089,-0.6789,0.0191,-0.0016,1.2484,-0.0807,2.2369,2.2369,Effector_vs_Treg,→Effector,boost-immunity,0,-12.8583,2
ZNF17,ENSG00000186272,Stim8hr,1.0701,-0.7892,-0.1174,-0.0876,-0.0231,1.8594,0.1421,2.2328,0.3045,2.2328,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-5.912,0
CCL5,ENSG00000271503,Stim48hr,-1.6651,-0.2118,-0.5409,0.4849,0.038,-1.4534,-1.2908,-2.2311,-2.1656,2.2311,Th1_vs_Th2,→Th2; →Treg,suppress-inflammation,1,-7.6411,2
TBL1X,ENSG00000101849,Stim8hr,0.963,-0.6326,-0.024,-1.0728,1.2101,1.5956,1.1749,1.8883,2.2303,2.2303,Effector_vs_Treg,→Effector,boost-immunity,1,-3.8465,132
TMBIM1,ENSG00000135926,Stim8hr,-0.3071,-0.208,-0.7116,0.8077,0.0916,-0.0991,-1.2166,-0.3254,-2.2288,2.2288,Effector_vs_Treg,→Treg,suppress-inflammation,0,-17.0854,0
PLCG1,ENSG00000124181,Stim48hr,0.2513,-1.0561,0.3116,-1.408,-1.0109,1.3075,1.2436,1.8584,2.2286,2.2286,Effector_vs_Treg,→Effector,boost-immunity,15,-10.8094,2217
AP2A1,ENSG00000196961,Stim48hr,-0.0409,-1.5969,0.2572,-0.9397,0.0419,1.556,0.4795,2.2266,0.9038,2.2266,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),5,-10.2156,54
ADCY3,ENSG00000138031,Rest,-0.7573,0.8708,-0.4355,-0.3514,-0.0314,-1.6281,0.2441,-2.226,0.6504,2.226,Th1_vs_Th2,→Th2,skew-Th2,0,-12.2413,2
COMMD6,ENSG00000188243,Stim48hr,-0.1658,0.5171,0.5166,-0.9528,0.3536,-0.6829,1.2421,-1.0898,2.226,2.226,Effector_vs_Treg,→Effector,boost-immunity,0,-22.4026,2
ABHD2,ENSG00000140526,Rest,0.3253,-0.5194,-0.2638,-1.0274,-0.0469,0.8447,0.8748,1.1521,2.2258,2.2258,Effector_vs_Treg,→Effector,boost-immunity,1,-8.4954,16
ITPK1,ENSG00000100605,Stim8hr,0.0844,-0.1314,1.4531,1.6837,0.953,0.2158,-1.2149,0.086,-2.2257,2.2257,Effector_vs_Treg,→Treg,suppress-inflammation,0,-10.1506,89
ANKRD17,ENSG00000132466,Stim8hr,0.5022,-0.4799,-0.6405,-1.378,-0.6371,0.9821,1.1719,1.0869,2.2247,2.2247,Effector_vs_Treg,→Effector,boost-immunity,0,-7.366,45
DEDD2,ENSG00000160570,Stim8hr,0.8099,-1.0432,-0.5238,0.3613,-0.259,1.8531,-0.6137,2.2247,-1.1047,2.2247,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-6.6794,3
KLHL17,ENSG00000187961,Rest,0.7086,0.1804,0.7623,-0.3239,-0.4841,0.5282,0.8743,0.7197,2.2244,2.2244,Effector_vs_Treg,→Effector,boost-immunity,0,-6.0116,3
EML2,ENSG00000125746,Stim8hr,-0.8934,-1.5321,0.0621,0.4258,-1.098,0.6387,-1.2136,0.6383,-2.2232,2.2232,Effector_vs_Treg,→Treg,suppress-inflammation,5,-10.4332,342
ZNF219,ENSG00000165804,Stim48hr,-0.6359,-0.0771,-0.145,-1.5253,-0.8491,-0.5588,1.2393,-0.9059,2.2212,2.2212,Effector_vs_Treg,→Effector,boost-immunity,1,-2.4695,56
ANKRD9,ENSG00000156381,Stim8hr,-0.604,-0.516,-0.5434,0.6568,-0.4274,-0.088,-1.2112,-0.3109,-2.2188,2.2188,Effector_vs_Treg,→Treg,suppress-inflammation,1,-5.4202,8
ZFYVE26,ENSG00000072121,Stim8hr,-0.4527,0.6358,-0.408,1.1361,-0.1017,-1.0884,-1.2111,-1.6176,-2.2185,2.2185,Effector_vs_Treg,→Treg,suppress-inflammation,0,-3.7529,35
ACAD9,ENSG00000177646,Stim48hr,-0.9466,-0.4019,-0.4719,0.7146,0.1203,-0.5447,-1.3213,-0.8851,-2.2185,2.2185,Effector_vs_Treg,→Treg,suppress-inflammation,0,-13.7678,606
PARS2,ENSG00000162396,Stim48hr,0.4237,-1.1267,0.4908,0.1262,0.1716,1.5504,-0.197,2.2183,-0.2691,2.2183,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),7,-2.6384,547
CDK2,ENSG00000123374,Stim48hr,-0.681,-0.3249,-0.6315,0.7753,-0.8753,-0.3561,-1.3211,-0.6058,-2.2182,2.2182,Effector_vs_Treg,→Treg,suppress-inflammation,0,-21.8849,346
GHITM,ENSG00000165678,Stim48hr,0.2076,0.1178,-0.6556,1.2109,-0.0843,0.0898,-1.321,0.0548,-2.2179,2.2179,Effector_vs_Treg,→Treg,suppress-inflammation,0,-25.802,4
CCNC,ENSG00000112237,Stim8hr,-0.2199,-0.3843,2.5936,-0.5047,0.4254,0.1644,1.1678,0.0188,2.2171,2.2171,Effector_vs_Treg,→Effector,boost-immunity,10,-41.3695,2270
FOXK1,ENSG00000164916,Stim8hr,-0.8961,0.6501,-0.6964,-0.7993,-0.3159,-1.5462,0.4852,-2.2156,0.9443,2.2156,Th1_vs_Th2,→Th2,skew-Th2,4,-12.7739,818
