gene,ensg,condition,Th1_score,Th2_score,Th17_score,Treg_score,Tfh_score,Th1_vs_Th2,Effector_vs_Treg,z_Th1_vs_Th2,z_Effector_vs_Treg,max_abs_z,primary_axis,shift_label,therapeutic_direction,n_sig_program_markers,ontarget_effect_size,n_downstream
DEK,ENSG00000124795,Rest,1.9907,-0.169,0.0621,0.5909,0.6004,2.1597,0.037,2.9485,0.1333,2.9485,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),4,-20.2086,93
STAT6,ENSG00000166888,Rest,0.0097,-2.1474,-0.3326,-0.2981,0.1114,2.157,-0.5253,2.9449,-1.2713,2.9449,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),1,-14.4332,2
FBXO32,ENSG00000156804,Stim8hr,1.5912,-0.8081,0.2032,0.5458,-0.4036,2.3993,-0.217,2.9381,-0.365,2.9381,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),6,-3.1388,747
ASXL1,ENSG00000171456,Rest,1.4391,1.233,0.4681,-0.1111,0.015,0.2061,1.1579,0.2797,2.9326,2.9326,Effector_vs_Treg,→Effector,boost-immunity,2,-30.3645,274
STAT5B,ENSG00000173757,Stim48hr,-0.9284,-1.0716,-0.1695,-2.3707,0.0043,0.1432,1.6475,0.1338,2.9289,2.9289,Effector_vs_Treg,→Effector,boost-immunity,14,-8.9187,1059
ATL2,ENSG00000119787,Stim8hr,-1.4009,-0.5744,-1.1673,0.5442,-0.6224,-0.8265,-1.5917,-1.2755,-2.9283,2.9283,Effector_vs_Treg,→Treg,suppress-inflammation,2,-13.9729,16
SLC25A45,ENSG00000162241,Stim8hr,-0.5691,0.6214,-0.5491,1.426,-0.024,-1.1905,-1.5916,-1.751,-2.9281,2.9281,Effector_vs_Treg,→Treg,suppress-inflammation,0,-6.2361,1
MMAB,ENSG00000139428,Rest,1.0339,-1.1086,0.1868,-0.5899,-0.6983,2.1425,0.6272,2.9251,1.6073,2.9251,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),5,-4.0133,836
CXCR3,ENSG00000186810,Stim48hr,-1.3738,0.5478,-0.2263,-0.1319,0.433,-1.9215,-0.2189,-2.9246,-0.3071,2.9246,Th1_vs_Th2,→Th2,skew-Th2,1,-13.1042,1
PSD4,ENSG00000125637,Stim48hr,1.4237,-0.5986,-0.3719,-0.2228,0.1374,2.0223,0.3738,2.9173,0.7206,2.9173,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-34.5513,3
HNRNPD,ENSG00000138668,Stim48hr,-0.4248,0.1279,-0.2112,-1.8093,-0.0856,-0.5527,1.6399,-0.8969,2.9158,2.9158,Effector_vs_Treg,→Effector,boost-immunity,2,-36.7409,641
RPTOR,ENSG00000141564,Stim8hr,-0.341,1.7411,0.0615,-0.6163,0.3337,-2.0821,1.1035,-2.9156,2.0972,2.9156,Th1_vs_Th2,→Th2; →Effector,boost-immunity,7,-8.9963,1028
VEZF1,ENSG00000136451,Rest,-0.6948,1.4373,-0.2156,-0.1069,-0.4637,-2.132,0.2825,-2.9145,0.7463,2.9145,Th1_vs_Th2,→Th2,skew-Th2,1,-15.7569,29
CENPV,ENSG00000166582,Rest,1.543,-0.5906,-0.3782,0.0839,-0.242,2.1336,0.1075,2.9129,0.3092,2.9129,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),1,-4.3585,20
FBXO42,ENSG00000037637,Rest,0.0663,0.6739,-0.2868,1.3336,0.2303,-0.6075,-1.1824,-0.8319,-2.9124,2.9124,Effector_vs_Treg,→Treg,suppress-inflammation,1,-9.7685,68
PPCDC,ENSG00000138621,Stim8hr,0.6218,-0.6679,1.8142,-0.9458,-0.4574,1.2897,1.5352,1.4886,2.902,2.902,Effector_vs_Treg,→Effector,boost-immunity,5,-7.5086,750
SIK3,ENSG00000160584,Stim8hr,0.4379,-1.9334,-0.432,0.7326,-0.908,2.3713,-1.3751,2.9015,-2.5243,2.9015,Th1_vs_Th2,→Th1; →Treg,suppress-inflammation,10,-10.7863,478
RIPK1,ENSG00000137275,Stim8hr,-0.0534,-0.3998,-0.272,-1.776,0.2537,0.3463,1.5343,0.2564,2.9003,2.9003,Effector_vs_Treg,→Effector,boost-immunity,3,-9.8668,240
